ID;Session;Method;Method_Number;Experimental_Object;Experimental_Object_Number;PEOU;PU;ITU;Quality;Modeling time (min);Productivity
1GR1;Sesión 1 (21/04/2017);value@GRL;0;Green Route;0;4;4,166666667;3,666666667;57,34;47;1,2199963
1GR2;Sesión 1 (21/04/2017);value@GRL;0;Green Route;0;3,666666667;3,666666667;4;34,44;60;0,5739796
1GR3;Sesión 1 (21/04/2017);value@GRL;0;Green Route;0;5;4,5;5;59,34;55;1,0788334
1GR4;Sesión 1 (21/04/2017);value@GRL;0;Green Route;0;3,666666667;3,333333333;3,666666667;32,61;53;0,6153176
1GR5;Sesión 1 (21/04/2017);value@GRL;0;Green Route;0;4,333333333;4,5;4,666666667;47,73;48;0,9944734
2GR1;Sesión 2 (09/06/2017);i*;1;Green Route;0;4;3;2,666666667;52,96;52;1,0184615
2GR2;Sesión 2 (09/06/2017);i*;1;Green Route;0;5;3,666666667;2,333333333;44,48;95;0,4682105
2GR3;Sesión 2 (09/06/2017);i*;1;Green Route;0;4,333333333;3,166666667;2,666666667;22,73;100;0,2273
2GR4;Sesión 2 (09/06/2017);i*;1;Green Route;0;4,333333333;3,666666667;2,333333333;31,75;77;0,4123377
2GR5;Sesión 2 (09/06/2017);i*;1;Green Route;0;3,333333333;2,666666667;3,333333333;46,16;100;0,4616
1LS1;Sesión 1 (21/04/2017);value@GRL;0;Lattes-Scholar;1;3,333333333;4,666666667;4,333333333;39,47;56;0,7048126
1LS2;Sesión 1 (21/04/2017);value@GRL;0;Lattes-Scholar;1;4,333333333;4,5;4,666666667;40,62;42;0,9671545
1LS3;Sesión 1 (21/04/2017);value@GRL;0;Lattes-Scholar;1;4;4,833333333;4,666666667;50,85;52;0,9779269
1LS4;Sesión 1 (21/04/2017);value@GRL;0;Lattes-Scholar;1;4,333333333;4,666666667;4,333333333;53,47;34;1,5727325
1LS5;Sesión 1 (21/04/2017);value@GRL;0;Lattes-Scholar;1;3;3,666666667;3,333333333;48,06;45;1,0680523
2LS1;Sesión 2 (09/06/2017);i*;1;Lattes-Scholar;1;5;5;4,666666667;27,51;110;0,2500909
2LS2;Sesión 2 (09/06/2017);i*;1;Lattes-Scholar;1;2;3,166666667;3;21,59;123;0,1755285
2LS3;Sesión 2 (09/06/2017);i*;1;Lattes-Scholar;1;3,666666667;3,166666667;2,333333333;30,22;106;0,2850943
2LS4;Sesión 2 (09/06/2017);i*;1;Lattes-Scholar;1;3,333333333;3,333333333;3;28,84;110;0,2621818
2LS5;Sesión 2 (09/06/2017);i*;1;Lattes-Scholar;1;2,333333333;3,666666667;2,333333333;28,87;101;0,2858416
